file,n_size,difficulty,solved,nodes_expanded,time_seconds,solution_length,reason
3x3/faciles/96.txt,3,faciles,True,794,0.0008,10,OK
3x3/faciles/97.txt,3,faciles,True,699,0.0007,10,OK
3x3/faciles/98.txt,3,faciles,True,76,0.0001,6,OK
3x3/faciles/99.txt,3,faciles,True,480,0.0005,10,OK
3x3/faciles/100.txt,3,faciles,True,659,0.0006,10,OK
3x3/medios/1.txt,3,medios,True,1068,0.0147,20,OK
3x3/medios/2.txt,3,medios,True,1570,0.0378,20,OK
3x3/medios/3.txt,3,medios,True,1007,0.0112,20,OK
3x3/medios/4.txt,3,medios,True,1012,0.0189,18,OK
3x3/medios/5.txt,3,medios,True,839,0.0064,16,OK
3x3/medios/6.txt,3,medios,True,844,0.0035,12,OK
3x3/medios/7.txt,3,medios,True,1053,0.0149,18,OK
3x3/medios/8.txt,3,medios,True,2036,0.0322,20,OK
3x3/medios/9.txt,3,medios,True,849,0.0082,16,OK
3x3/medios/10.txt,3,medios,True,1366,0.0185,22,OK
3x3/medios/11.txt,3,medios,True,871,0.0088,16,OK
3x3/medios/12.txt,3,medios,True,816,0.0033,12,OK
3x3/medios/13.txt,3,medios,True,1599,0.0337,20,OK
3x3/medios/14.txt,3,medios,True,1350,0.0157,20,OK
3x3/medios/15.txt,3,medios,True,832,0.0056,20,OK
3x3/medios/16.txt,3,medios,True,858,0.0059,20,OK
3x3/medios/17.txt,3,medios,True,883,0.0064,20,OK
3x3/medios/18.txt,3,medios,True,859,0.006,20,OK
3x3/medios/19.txt,3,medios,True,847,0.0061,12,OK
3x3/medios/20.txt,3,medios,True,1308,0.0234,20,OK
3x3/medios/21.txt,3,medios,True,814,0.0032,12,OK
3x3/medios/22.txt,3,medios,True,887,0.0094,18,OK
3x3/medios/23.txt,3,medios,True,816,0.0032,12,OK
3x3/medios/24.txt,3,medios,True,909,0.012,16,OK
3x3/medios/25.txt,3,medios,True,816,0.0054,14,OK
3x3/medios/26.txt,3,medios,True,850,0.0059,14,OK
3x3/medios/27.txt,3,medios,True,856,0.0036,16,OK
3x3/medios/28.txt,3,medios,True,1113,0.0151,22,OK
3x3/medios/29.txt,3,medios,True,843,0.0083,16,OK
3x3/medios/30.txt,3,medios,True,852,0.0083,18,OK
3x3/medios/31.txt,3,medios,True,2245,0.0383,22,OK
3x3/medios/32.txt,3,medios,True,968,0.0123,20,OK
3x3/medios/33.txt,3,medios,True,841,0.008,18,OK
3x3/medios/34.txt,3,medios,True,889,0.0115,16,OK
3x3/medios/35.txt,3,medios,True,1221,0.0201,22,OK
3x3/medios/36.txt,3,medios,True,832,0.0035,18,OK
3x3/medios/37.txt,3,medios,True,822,0.0033,16,OK
3x3/medios/38.txt,3,medios,True,858,0.0062,16,OK
3x3/medios/39.txt,3,medios,True,4123,0.0731,20,OK
3x3/medios/40.txt,3,medios,True,1226,0.0189,24,OK
3x3/medios/41.txt,3,medios,True,1127,0.0234,20,OK
3x3/medios/42.txt,3,medios,True,1583,0.0253,24,OK
3x3/medios/43.txt,3,medios,True,856,0.0063,20,OK
3x3/medios/44.txt,3,medios,True,848,0.0111,16,OK
3x3/medios/45.txt,3,medios,True,3389,0.0643,24,OK
3x3/medios/46.txt,3,medios,True,831,0.0059,16,OK
3x3/medios/47.txt,3,medios,True,1037,0.0178,18,OK
3x3/medios/48.txt,3,medios,True,2422,0.043,22,OK
3x3/medios/49.txt,3,medios,True,858,0.0062,20,OK
3x3/medios/50.txt,3,medios,True,1471,0.0239,22,OK
3x3/medios/51.txt,3,medios,True,820,0.0034,16,OK
3x3/medios/52.txt,3,medios,True,1262,0.0261,20,OK
3x3/medios/53.txt,3,medios,True,1163,0.0215,20,OK
3x3/medios/54.txt,3,medios,True,1109,0.0202,20,OK
3x3/medios/55.txt,3,medios,True,1514,0.0304,22,OK
3x3/medios/56.txt,3,medios,True,998,0.0131,22,OK
3x3/medios/57.txt,3,medios,True,858,0.0107,18,OK
3x3/medios/58.txt,3,medios,True,1082,0.0152,18,OK
3x3/medios/59.txt,3,medios,True,973,0.011,20,OK
3x3/medios/60.txt,3,medios,True,285,0.0003,8,OK
3x3/medios/61.txt,3,medios,True,1263,0.0154,22,OK
3x3/medios/62.txt,3,medios,True,820,0.0057,14,OK
3x3/medios/63.txt,3,medios,True,513,0.0005,10,OK
3x3/medios/64.txt,3,medios,True,848,0.0061,14,OK
3x3/medios/65.txt,3,medios,True,864,0.0112,18,OK
3x3/medios/66.txt,3,medios,True,895,0.011,20,OK
3x3/medios/67.txt,3,medios,True,875,0.0132,20,OK
